questions,answers
" Quy trình đăng ký và kế hoạch xét, cấp học bổng Trần Đại Nghĩa như thế nào?
","Quy trình đăng ký và kế hoạch xét, cấp học bổng Trần Đại Nghĩa như sau:

1. **Đối tượng:**
   - Sinh viên có hoàn cảnh kinh tế gia đình đặc biệt khó khăn và thuộc một trong các nhóm đối tượng đã quy định.

2. **Mức học bổng:**
   - Học bổng Trần Đại Nghĩa nhóm a có 2 mức: 50% và 100% học phí của học kỳ 2023.2.
   - Học bổng Trần Đại Nghĩa nhóm b có 2 mức: 5 triệu và 10 triệu đồng học phí của học kỳ 2023.2.

3. **Không xét học bổng:**
   - Đối với các trường hợp đã quy định không được xét học bổng Trần Đại Nghĩa.

4. **Hồ sơ đăng ký học bổng gồm:**
   - Đơn đăng ký xét học bổng.
   - Sổ hoặc Giấy chứng nhận hộ nghèo/ hộ cận nghèo năm 2024 (nếu có).
   - Hồ sơ minh chứng khác về hoàn cảnh kinh tế gia đình khó khăn (nếu có).
   - Bản sao chứng thực Thẻ CCCD.
   - Giấy xác nhận thông tin về cư trú hoặc Giấy thông báo số định danh cá nhân và thông tin công dân trong Cơ sở dữ liệu quốc gia về dân cư.

5. **Quy trình đăng ký và kế hoạch xét, cấp học bổng:**
   - Sinh viên đăng ký xét học bổng tại liên kết cung cấp và nộp hồ sơ bản giấy tại bàn số 3 phòng 103 nhà C1 trước 12h00 Thứ 2 ngày 01/4/2024.
   - Kết quả xét học bổng dự kiến sẽ được công bố cùng với kết quả xét cấp học bổng khuyến khích học tập vào tuần học thứ 10 của học kỳ 2023.2.
"
" Ai được đăng ký xét học bổng Gắn kết quê hương học kỳ II năm học 2023-2024?
"," Sinh viên hoặc nhóm sinh viên cùng thực hiện đề tài đồ án/khóa luận tốt nghiệp đạt đồng thời các điều kiện sau:
- Toàn bộ các thành viên trong nhóm thực hiện đề tài ĐATN có điểm học tập trung bình tích lũy tính đến hết học kỳ 2023.1 đạt từ loại khá trở lên (CPA ≥ 2.5);
- Có đề tài ĐATN ứng dụng tại cơ quan/doanh nghiệp và góp phần cải tiến, nâng cao chất lượng, hiệu quả kinh doanh, sản xuất hoặc chất lượng các dịch vụ an sinh xã hội tại quê hương của một trong số sinh viên cùng thực hiện đề tài ĐATN.
"
" Điều kiện nào sinh viên cần đạt để được xét học bổng Gắn kết quê hương?
","Sinh viên phải đạt đồng thời các điều kiện sau:

a) Toàn bộ các thành viên trong nhóm thực hiện đề tài ĐATN có điểm học tập trung bình tích lũy tính đến hết học kỳ 2023.1 đạt từ loại khá trở lên (CPA ≥ 2.5);
b) Có đề tài ĐATN ứng dụng tại cơ quan/doanh nghiệp và góp phần cải tiến, nâng cao chất lượng, hiệu quả kinh doanh, sản xuất hoặc chất lượng các dịch vụ an sinh xã hội tại quê hương của một trong số sinh viên cùng thực hiện đề tài ĐATN.
"
" Học bổng Gắn kết quê hương có giá trị bao nhiêu?
","5 triệu đồng/ĐATN
"
" Các trường hợp nào sẽ không được xét học bổng Gắn kết quê hương?
","Các trường hợp không được xét học bổng Gắn kết quê hương bao gồm:

1. Sinh viên đang chịu hình thức kỷ luật từ mức khiển trách trở lên tại thời điểm xét học bổng.
2. Sinh viên theo học chương trình đào tạo do trường đối tác nước ngoài cấp một văn bằng tốt nghiệp duy nhất.
"
" Hồ sơ đăng ký học bổng Gắn kết quê hương gồm những gì?
"," Hồ sơ đăng ký học bổng gồm:
a) Đơn đăng ký xét cấp học bổng theo mẫu TẠI https://ctt.hust.edu.vn/Upload/Nguyen%20Viet%20Tien/files/M%E1%BA%ABu%20%C4%91%C6%A1n.docx
b) Bản xác nhận của cơ quan/doanh nghiệp về kết quả ứng dụng đề tài ĐATN của sinh viên mà cơ quan/doanh nghiệp thu được theo mẫu TẠI https://ctt.hust.edu.vn/Upload/Nguyen%20Viet%20Tien/files/M%E1%BA%ABu%20Gi%E1%BA%A5y%20x%C3%A1c%20nh%E1%BA%ADn.docx .
c) Bản sao chứng thực bằng tốt nghiệp trung học phổ thông của người học.
"
" Quy trình đăng ký và kế hoạch xét, cấp học bổng Gắn kết quê hương như thế nào?
","Sinh viên đăng ký xét học bổng TẠI https://forms.office.com/r/4XyyJdtn6V?origin=lprLink và hoàn thành việc nộp hồ sơ bản giấy tại bàn số 2 phòng 103 nhà C1 đến hết Thứ Ba ngày 23/6/2024.
Kết quả xét duyệt học bổng được công bố trong vòng 20 ngày làm việc kể từ khi kết thúc thời gian chấm ĐATN học kỳ 2023.2 của toàn Đại học.
"
" Nơi nào có thể tìm thấy chi tiết quy định về Học bổng Gắn kết quê hương?
","Bạn có thể tìm thấy chi tiết quy định về Học bổng Gắn kết quê hương tại đường dẫn sau: [https://ctsv.hust.edu.vn/#/so-tay-sv/61/hoc-bong](https://ctsv.hust.edu.vn/#/so-tay-sv/61/hoc-bong). Đường dẫn này sẽ đưa bạn đến trang chính thức của Trường Đại học Bách khoa Hà Nội, nơi bạn có thể tìm hiểu thêm về các điều khoản và điều kiện của Học bổng Gắn kết quê hương.
"
" Cách liên hệ với Ban Công tác sinh viên để được hỗ trợ về Học bổng Gắn kết quê hương là gì?
","Email: ctsv@hust.edu.vn
"
" Đại học Bách khoa Hà Nội áp dụng hình thức đào tạo nào đối với tất cả các ngành học?
","Đại học Bách Khoa Hà Nội áp dụng hình thức đào tạo theo hệ thống tín chỉ đối với tất cả các ngành học.
"
" Ngoài sự hướng dẫn từ giảng viên và các đơn vị chức năng, sinh viên cần tự trang bị những kiến thức gì?
","Ngoài sự hướng dẫn từ giảng viên và các đơn vị chức năng, sinh vin cần tự trang bị cho mình những kiến thức cơ bản liên quan đến quyền lợi, nghĩa vụ của SV, biết khai thác thông tin liên quan đến việc tổ chức học tập, cuộc sống của SV.
"
" Sổ tay sinh viên được biên soạn lần đầu tiên vào năm nào?
","Sổ tay sinh viên được biên soạn lần đầu tiên vào năm 2015.
"
" Sổ tay sinh viên năm 2023 bao gồm những nội dung chính nào?
","Sổ tay sinh viên năm 2023 bao gồm các nội dung chính sau:

1. Giới thiệu về Đại học Bách Khoa Hà Nội.
2. Đơn vị quản lý sinh viên, ngành, chuyên ngành và chương trình đào.
3. Quy chế đào tạo theo hệ thống tín chỉ.
4. Quy trình và hướng dẫn sinh viên đăng ký học phần trực tuyến.
5. Quy chế Công tác sinh viên và khung rèn luyện đối với sinh viên nội trú, ngoại trú.
6. Các công tác sinh viên khác như công tác Đoàn, Hội, chế độ chính sách, thư viện, y tế trường học.
7. Hướng dẫn về các công tác sinh viên như học bổng, chế độ chính sách, vay vốn tín dụng, nghỉ học dài ngày.
8. Kinh nghiệm tham gia các hoạt động ngoại khóa và đời sống của sinh viên.

Sổ tay này được thiết kế để cung cấp thông tin và hướng dẫn cho sinh viên, giúp họ hiểu rõ về quy trình học tập và rèn luyện tại trường.
"
" Sinh viên có thể tải bản mềm của Cẩm nang sinh viên và Cẩm nang phòng tư vấn ở đâu?
","Sinh viên có thể tải bản mềm của Cẩm nang sinh viên và Cẩm nang phòng tư vấn tại các địa chỉ sau:

- Cẩm nang sinh viên 2023: Tại [đây](https://drive.google.com/file/d/1c0wu0mGopfbwrEAIECaUlBLokkhvamJb/view).
- Cẩm nang phòng tư vấn: Tại [đây](https://drive.google.com/file/d/1X2O3NLxhriWtfC6rNLDD8vaBzjcGfcsh/view?usp=sharing).
"
" Những đối tượng nào được miễn, giảm học phí?
"," Con của người hoạt động cách mạng trước ngày 01/01/1945; con của người hoạt động cách mạng từ ngày 01/01/1945 đến ngày khởi nghĩa tháng Tám năm 1945.
2. Con của liệt sỹ.
3. Con của anh hùng lực lượng vũ trang nhân dân.
4. Con của anh hùng lao động trong thời kỳ kháng chiến.
5. Con của thương binh, con của người hưởng chính sách như thương binh.
6. Con của bệnh binh.
7. Con của người hoạt động kháng chiến bị nhiễm chất độc hoá học.
8. Sinh viên khuyết tật.
9. Sinh viên từ 16 đến 22 tuổi không có nguồn nuôi dưỡng đang học đại học văn bằng thứ nhất thuộc đối tượng hưởng trợ cấp xã hội hàng tháng theo quy định tại khoản 1 và 2 Điều 5 Nghị định số 20/2021/NĐ-CP ngày 15/3/2021 của Chính phủ.
10. Sinh viên hệ cử tuyển.
11. Sinh viên là người dân tộc thiểu số có cha hoặc mẹ hoặc cả cha và mẹ hoặc ông bà (trong trường hợp ở với ông bà) thuộc hộ nghèo và hộ cận nghèo.
12. Sinh viên là người dân tộc thiểu số rất ít người, ở vùng có điều kiện kinh tế - xã hội khó khăn hoặc đặc biệt khó khăn theo quy định hiện hành của cơ quan có thẩm quyền.
13. Sinh viên là người dân tộc thiểu số (ngoài đối tượng dân tộc thiểu số rất ít người) ở thôn/bản đặc biệt khó khăn, xã khu vực III vùng dân tộc và miền núi, xã đặc biệt khó khăn vùng bãi ngang ven biển hải đảo theo quy định của cơ quan có thẩm quyền.
14. Sinh viên là con cán bộ, công chức, viên chức, công nhân mà cha hoặc mẹ bị tai nạn lao động hoặc mắc bệnh nghề nghiệp được hưởng trợ cấp thường xuyên.
"
" Sinh viên diện chính sách có thể đóng học phí sau khi nhận được tiền miễn giảm học phí không?
","Chú ý: Sinh viên diện chế độ chính sách được miễn, giảm học phí có thể đóng học phí sau khi sinh viên đã nhận được tiền miễn giảm học phí do Nhà nước chi trả.
"
" Đối tượng nào được nhận hỗ trợ chi phí học tập?
","B. Hỗ trợ chi phí học tập
"
" Mức hỗ trợ học tập là bao nhiêu?
","a) Đối tượng từ 1 đến 12: Được miễn học phí.

b) Đối tượng 13: Được giảm 70% học phí.

c) Đối tượng 14: Được giảm 50% học phí.
"
" Sinh viên diện cử tuyển nộp và nhận giấy xác nhận được hưởng học bổng chính sách ở đâu?
","E. Xác nhận được hưởng học bổng chính sách
"
" Đối tượng nào được vay vốn tại Ngân hàng chính sách?
","A. Sinh viên mồ côi cả cha lẫn mẹ hoặc chỉ mồ côi cha hoặc mẹ nhưng người còn lại không có khả năng lao động.

2. Sinh viên là thành viên của hộ nghèo, cận nghèo theo quy định của Nhà nước.

3. Sinh viên là thành viên của hộ gia đình có mức thu nhập bình quân đầu người tối đa bằng 150% mức thu nhập bình quân đầu người của hộ gia đình nghèo theo quy định của Nhà nước.

4. Sinh viên thuộc hộ gia đình gặp khó khăn về tài chính do tai nạn, bệnh tật, thiên tai, hỏa hoạn, dịch bệnh trong thời gian theo học có xác nhận của Ủy ban nhân dân xã, phường, thị trấn nơi cư trú.
"
" Quy trình nào quy định v đào tạo được ban hành năm 2023?
","Qui chế đào tạo (ban hành năm 2023)
"
" Quy định ngoại ngữ áp dụng cho khóa K68 được xem ở đâu?
","Qui định ngoại ngữ áp dụng từ khóa K68: xem tại https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=43411
"
" Quy định tổ chức thi theo phương thức trực tuyến được xem ở đâu?
","https://ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20ban%20hanh%20QD%20to%20chuc%20thi%20Truc%20tuyen.pdf
"
" Quy chế công tác sinh viên hệ đại học chính quy được xem ở đâu?
","https://moet.gov.vn/giaoducquocdan/cong-tac-hoc-sinh-sinh-vien/Pages/chi-tiet-van-ban-quy-pham-phap-luat.aspx?ItemID=902
"
" Quy định về Học bổng Khuyến khích học tập được xem ở đâu?
","https://husteduvn-my.sharepoint.com/:b:/g/personal/khai_tranquang_hust_edu_vn1/ESU8utDOABpBvhl0inNyBEoBTaDWQYaYlWeOZVTnj_cjVg?e=2ikRju
"
" Biểu mẫu học tập được xem ở đâu?
","https://sv-ctt.hust.edu.vn/#/so-tay-sv/69/huong-dan-gui-cau-hoi-toi-phong-dao-tao-cac-van-de-ve-hoc-tap-hoc-phi
"
" Biểu mẫu xin thôi học, nghỉ học dài hạn, chuyển ngành được xem ở đâu?
","https://sv-ctt.hust.edu.vn/#/so-tay-sv/69/huong-dan-gui-cau-hoi-toi-phong-dao-tao-cac-van-de-ve-hoc-tap-hoc-phi
"
" Với công tác đào tạo, hướng dẫn được xem ở đâu?
","Với công tác đào tạo, hướng dẫn được xem ở: https://sv-ctt.hust.edu.vn/#/so-tay-sv/69/huong-dan-gui-cau-hoi-toi-phong-dao-tao-cac-van-de-ve-hoc-tap-hoc-phi
"
" Hướng dẫn khuyến khích hỗ trợ tài nguyên cho CLB từ các cá nhân và tổ chức bên ngoài như thế nào?
","Để khuyến khích và hỗ trợ tài nguyên cho các CLB sinh viên từ các cá nhân và tổ chức bên ngoài, bạn có thể thực hiện các bước sau:

1. **Tạo mối liên kết và quan hệ:**
   - Xây dựng mối quan hệ gần gũi với các cá nhân và tổ chức có khả năng cung cấp hỗ trợ cho các CLB sinh viên.
   - Tạo cơ hội gặp gỡ, giao lưu và trao đổi ý kiến để thúc đẩy sự hiểu biết và hỗ trợ từ phía các đối tác.

2. **Giới thiệu và quảng bá CLB:**
   - Tổ chức các sự kiện, buổi thuyết trình hoặc triển lãm để giới thiệu CLB và các hoạt động của họ cho cộng đồng.
   - Sử dụng mạng lưới xã hội và các kênh truyền thông để quảng bá CLB và thu hút sự quan tâm từ các đối tác tiềm năng.

3. **Đề xuất hợp tác:**
   - Phát triển các đề xuất hợp tác cụ thể và hấp dẫn, nêu rõ lợi ích mà các đối tác có thể nhận được từ việc hỗ trợ CLB sinh viên.
   - Đề xuất các dự án hoặc chương trình cụ thể mà các đối tác có thể tham gia để hỗ trợ CLB.

4. **Tạo cơ hội hợp tác:**
   - Mở cửa cho các đối tác tham gia vào các hoạt động của CLB, như tổ chức hội thảo, buổi tập huấn hoặc các dự án thực tiễn.
   - Cung cấp các phương tiện quảng cáo và thừa nhận công lao của các đối tác trong các sự kiện và hoạt động của CLB.

5. **Tạo điều kiện thuận lợi:**
   - Đảm bảo rằng các quy trình và hướng dẫn để hỗ trợ CLB từ các cá nhân và tổ chức bên ngoài được công bố và dễ dàng tiếp cận.
   - Cung cấp hỗ trợ và tư vấn cho các CLB về cách tiếp cận và làm việc với các đối tác tiềm năng.

6. **Ghi nhận và đánh giá:**
   - Ghi nhận và đánh giá các đóng góp và hỗ trợ từ các cá nhân và tổ chức bên ngoài.
   - Phản hồi và đánh giá độ hiệu quả của các mối quan hệ hợp tác để liên tục cải thiện và phát triển.

Với các bước này, bạn có thể tạo điều kiện thuận lợi và khuyến khích sự hỗ trợ từ các cá nhân và tổ chức bên ngoài để phát triển bền vững cho các CLB sinh viên.
"
